"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"77","ADH1A",-4.12621778570573,-2.91284176130378,-44.6152393135343,0,0,896.780865789345
"7238","ABCA6",-2.55452616733943,0.891262956568709,-43.94638748126,0,0,872.893534604628
"3636","CCL21",-3.29885333834957,1.8659510156871,-43.9110293459106,0,0,871.598160457408
"3617","SCNN1B",-3.28630728510518,1.2156206814367,-43.664174798528,0,0,862.575908261475
"10483","GREM2",-2.97014380712598,-0.208652675797978,-43.6355129015825,0,0,861.401876157007
"7821","HSPB7",-2.64199368442998,1.61113057088162,-43.4693169741572,0,0,855.463648077468
"3195","RELN",-2.96801283767006,0.43372952877524,-43.2710964362048,0,0,848.224440884894
"1792","HLF",-2.53650675433258,3.00940707430577,-43.2692978923807,0,0,848.124534874337
"1551","GHR",-2.34838568661339,2.3991914643144,-43.15063878863,0,0,843.855786191073
"11881","AGPAT9",-2.18271455089702,2.03285223085501,-42.6608680350999,0,0,826.180530554676
"3671","SFRP1",-3.34269543274539,3.19430890395915,-42.6430455488558,0,0,825.450260961619
"22","ACACB",-1.94569303841525,4.28323908435826,-41.9532880281604,0,0,800.7479774389
"3613","SCN7A",-3.25966780689193,-1.1798451119584,-41.9117532959216,0,0,799.201257977405
"14514","TMEM220",-1.80690648385412,2.23549294243857,-41.6258473474568,0,0,789.252352641165
"4469","ZBTB16",-2.7300383969239,0.757432179340354,-41.4884792096869,0,0,784.400911355283
"282","ASPA",-2.8694709556555,-0.94377680902587,-41.2554421091488,0,0,775.975196091907
"1808","HMGCS2",-4.35231672972682,0.354320133261762,-41.1756496604072,0,0,773.389631682645
"8634","EMCN",-1.9189594150078,3.25729912419526,-41.1449486436384,0,0,772.235370215938
"11134","SVEP1",-2.25306921578189,3.09268171010801,-41.1031719267681,0,0,770.769035602847
"1317","FABP4",-3.15392794122038,1.04230215232906,-41.0986859254482,0,0,770.688271376969
"1615","GPD1",-3.03276408011515,1.61559145543463,-40.9424142727032,0,0,765.201868911841
"3660","SELP",-2.41838537901655,1.34006535115914,-40.9371885882729,0,0,765.040853123693
"4846","AOC3",-2.49310716691756,4.26233887326804,-40.8218900872682,0,0,760.864342232253
"4111","TGFBR3",-2.02213391727727,4.55998229451161,-40.8053812095887,0,0,760.285534546057
"7738","PCOLCE2",-2.54018249343836,1.36609421513869,-40.3506326906314,0,0,744.636574238348
"1739","HBB",-2.65625442743372,3.61631841301755,-40.272489165226,0,0,741.803289171083
"3088","PPP1R1A",-3.33505981394473,0.271168401226595,-40.1807248838246,0,0,738.766706642836
